284100	-839683.283792
284385	-839827.873034
284664	-839630.991949
284955	-839691.600769
285237	-839693.576140
285523	-839725.547002
285803	-839548.166109
286083	-839429.095971
286364	-839371.765868
286646	-839352.501217
286929	-839504.827141
287208	-839519.001926
287491	-839398.827989
287789	-839404.617999
288070	-839371.056262
288349	-839377.237207
288638	-839308.381914
288918	-839366.445490
289202	-839255.432994
289495	-839392.062963
289778	-839412.969400
290058	-839445.072850
290341	-839368.538750
290631	-839441.041499
290916	-839451.708867
291202	-839508.726396
291486	-839457.090671
291782	-839371.384932
292065	-839525.264258
292348	-839553.658947
292656	-839466.392218
292934	-839424.001419
293215	-839537.024354
293497	-839499.638065
293775	-839577.468997
294066	-839442.270733
294349	-839642.814497
294632	-839642.268117
294916	-839668.742305
295214	-839653.969972
295502	-839595.758026
295785	-839578.125728
296073	-839512.310686
296360	-839446.614219
296652	-839529.901760
296932	-839602.502473
297216	-839591.895885
297498	-839787.595284
297780	-839394.697376
298075	-839460.751950
298354	-839556.069479
298636	-839653.776236
298918	-839481.872218
299207	-839449.449687
299494	-839473.323967
299783	-839328.702321
300072	-839249.457364
300353	-839474.748679
300643	-839583.188670
300927	-839572.368290
301209	-839529.161631
301487	-839554.763995
301778	-839511.197880
302059	-839405.137704
302341	-839281.694605
302633	-839325.940006
302922	-839414.214598
303209	-839451.359144
303487	-839570.490810
303770	-839354.589541
304049	-839413.649246
304331	-839512.110772
304611	-839396.485433
304890	-839326.233090
305203	-839444.502881
305496	-839391.979642
305790	-839384.034188
306070	-839490.921541
306358	-839604.010463
306641	-839546.061437
306921	-839502.616033
307208	-839482.252748
307498	-839523.655867
307783	-839534.638742
308069	-839390.119943
308354	-839445.699806
308639	-839374.145296
308935	-839355.111173
309215	-839122.957730
309505	-839252.341111
309785	-839148.095450
310068	-839164.349373
310359	-839188.309314
310648	-839245.258421
310928	-839399.828539
311208	-839355.375016
311487	-839267.646637
311769	-839410.360901
312053	-839164.368421
312333	-839190.555906
